eventId,eventOrdinal,eventType,timestampMillis,timestamp,durationMillis,lineageStart,lineageIdentifiers/0,details,componentId,componentType,componentName,entityId,entityType,entitySize,previousEntitySize,previousAttributes/path,previousAttributes/filename,previousAttributes/uuid,actorHostname,contentURI,previousContentURI,platform,application,updatedAttributes/path,updatedAttributes/filename,updatedAttributes/uuid,updatedAttributes/anomaly
4c19f365-f7e3-4edf-9ce2-57dd53fa82cb,40000,DROP,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,a297613f-0c20-42a6-8ee2-6ce7552fdba4,Auto-Terminated by success Relationship,29984cfc-f4c3-49a4-9a5c-1b606a939a12,LogAttribute,LogAttribute,a297613f-0c20-42a6-8ee2-6ce7552fdba4,org.apache.nifi.flowfile.FlowFile,51200,51200,./,8.69229E+14,a297613f-0c20-42a6-8ee2-6ce7552fdba4,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40000/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40000/content/input,nifi,NiFi Flow,,,,
9377d1cf-a040-4617-9779-d0bd187ea97a,40001,CREATE,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,30392ec7-c456-4f46-a62c-93b133b75981,,5d241800-4f6d-4bc0-98a5-70e05cbb278d,GenerateFlowFile,GenerateFlowFile,30392ec7-c456-4f46-a62c-93b133b75981,org.apache.nifi.flowfile.FlowFile,51200,,,,,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40001/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40001/content/input,nifi,NiFi Flow,./,8.69299E+14,30392ec7-c456-4f46-a62c-93b133b75981,
017e9f17-0040-4d65-96f7-d6e44fbcda23,40002,ATTRIBUTES_MODIFIED,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,4ab8ab0e-ba0c-4c6f-9253-834927fe62de,,179521d4-4ab4-4111-8dfa-ef450564c1a8,ExecuteScript,ExecuteScript,4ab8ab0e-ba0c-4c6f-9253-834927fe62de,org.apache.nifi.flowfile.FlowFile,51200,51200,./,8.6923E+14,4ab8ab0e-ba0c-4c6f-9253-834927fe62de,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40002/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40002/content/input,nifi,NiFi Flow,,,,n
a138b61d-f569-4734-a617-c3019ce53e4d,40003,DROP,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,da66cd8e-4204-4447-9d32-d37fd86a25fb,Auto-Terminated by success Relationship,29984cfc-f4c3-49a4-9a5c-1b606a939a12,LogAttribute,LogAttribute,da66cd8e-4204-4447-9d32-d37fd86a25fb,org.apache.nifi.flowfile.FlowFile,51200,51200,./,8.69229E+14,da66cd8e-4204-4447-9d32-d37fd86a25fb,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40003/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40003/content/input,nifi,NiFi Flow,,,,
c2adf325-c652-440d-85a9-7e2a8645a235,40004,CREATE,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,2cd84710-6437-47b7-abd2-8a5d283c1b7e,,5d241800-4f6d-4bc0-98a5-70e05cbb278d,GenerateFlowFile,GenerateFlowFile,2cd84710-6437-47b7-abd2-8a5d283c1b7e,org.apache.nifi.flowfile.FlowFile,51200,,,,,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40004/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40004/content/input,nifi,NiFi Flow,./,8.69299E+14,2cd84710-6437-47b7-abd2-8a5d283c1b7e,
d560ec50-3c33-4f99-9402-33bb977f99f5,40005,ATTRIBUTES_MODIFIED,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,bd8a42ab-6264-4451-af20-250229fa4131,,179521d4-4ab4-4111-8dfa-ef450564c1a8,ExecuteScript,ExecuteScript,bd8a42ab-6264-4451-af20-250229fa4131,org.apache.nifi.flowfile.FlowFile,51200,51200,./,8.6923E+14,bd8a42ab-6264-4451-af20-250229fa4131,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40005/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40005/content/input,nifi,NiFi Flow,,,,n
833ab98b-48bc-4cc1-bbe2-8330f96e8929,40006,DROP,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,e1eeb2cc-b53f-4e02-8b3a-72795a37ca62,Auto-Terminated by success Relationship,29984cfc-f4c3-49a4-9a5c-1b606a939a12,LogAttribute,LogAttribute,e1eeb2cc-b53f-4e02-8b3a-72795a37ca62,org.apache.nifi.flowfile.FlowFile,51200,51200,./,8.69229E+14,e1eeb2cc-b53f-4e02-8b3a-72795a37ca62,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40006/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40006/content/input,nifi,NiFi Flow,,,,
9579e9be-f8ad-4ad9-92ed-f761f313f9a0,40007,CREATE,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,f65c0995-aa1a-4410-a164-c29dabbe7718,,5d241800-4f6d-4bc0-98a5-70e05cbb278d,GenerateFlowFile,GenerateFlowFile,f65c0995-aa1a-4410-a164-c29dabbe7718,org.apache.nifi.flowfile.FlowFile,51200,,,,,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40007/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40007/content/input,nifi,NiFi Flow,./,8.69299E+14,f65c0995-aa1a-4410-a164-c29dabbe7718,
266a14ba-bade-40d0-ad17-72a8611a3acc,40008,ATTRIBUTES_MODIFIED,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,58d6c257-5ac6-468a-ba6c-99f81f5d2130,,179521d4-4ab4-4111-8dfa-ef450564c1a8,ExecuteScript,ExecuteScript,58d6c257-5ac6-468a-ba6c-99f81f5d2130,org.apache.nifi.flowfile.FlowFile,51200,51200,./,8.6923E+14,58d6c257-5ac6-468a-ba6c-99f81f5d2130,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40008/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40008/content/input,nifi,NiFi Flow,,,,n
d28cf215-d009-42c8-b076-868deb9eded1,40009,DROP,1.46888E+12,2016-07-18T23:18:52.763Z,-1,1.46888E+12,0e462fa9-e692-4d52-8134-ceff220b2ebd,Auto-Terminated by success Relationship,29984cfc-f4c3-49a4-9a5c-1b606a939a12,LogAttribute,LogAttribute,0e462fa9-e692-4d52-8134-ceff220b2ebd,org.apache.nifi.flowfile.FlowFile,51200,51200,./,8.69229E+14,0e462fa9-e692-4d52-8134-ceff220b2ebd,192.168.0.101,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40009/content/output,http://192.168.0.101:8080/nifi-api/controller/provenance/events/40009/content/input,nifi,NiFi Flow,,,,
